config,datatype,dim,metric,k,cr_k,cr_2k,cr_3k,cr_5k,cr_10k,cr_100,err_spearman,err_resid_std_norm,err_bias
rotation,anisotropic,384,l2,100,0.0798,0.1391,0.1892,0.2757,0.4453,0.0798,0.1988,0.9777,0.0000
adc_rot,anisotropic,384,l2,10,0.0390,0.0600,0.0870,0.1180,0.2030,0.2030,0.2550,1.3663,-0.0000
adc_rot,anisotropic,384,l2,50,0.0772,0.1344,0.1782,0.2528,0.3852,0.1344,0.2550,1.3663,-0.0000
adc_rot,anisotropic,384,l2,100,0.1072,0.1829,0.2413,0.3392,0.5227,0.1072,0.2550,1.3663,-0.0000
baseline,anisotropic,384,cosine,10,0.1160,0.1820,0.2280,0.3150,0.4360,0.4360,0.6231,0.7628,-0.0000
baseline,anisotropic,384,cosine,50,0.2048,0.3128,0.3968,0.5108,0.6914,0.3128,0.6231,0.7628,-0.0000
baseline,anisotropic,384,cosine,100,0.2473,0.3863,0.4822,0.6194,0.8009,0.2473,0.6231,0.7628,-0.0000
adc,anisotropic,384,cosine,10,0.0880,0.1490,0.1890,0.2530,0.3920,0.3920,0.5903,0.7904,-0.0000
adc,anisotropic,384,cosine,50,0.1746,0.2776,0.3612,0.4762,0.6476,0.2776,0.5903,0.7904,-0.0000
adc,anisotropic,384,cosine,100,0.2277,0.3624,0.4514,0.5848,0.7807,0.2277,0.5903,0.7904,-0.0000
rotation,anisotropic,384,cosine,10,0.1100,0.1630,0.2070,0.2720,0.4140,0.4140,0.6250,0.7610,-0.0000
rotation,anisotropic,384,cosine,50,0.1810,0.2928,0.3828,0.4970,0.6830,0.2928,0.6250,0.7610,-0.0000
rotation,anisotropic,384,cosine,100,0.2447,0.3834,0.4800,0.6174,0.8061,0.2447,0.6250,0.7610,-0.0000
adc_rot,anisotropic,384,cosine,10,0.1300,0.1940,0.2410,0.3010,0.4270,0.4270,0.6214,0.7649,0.0000
adc_rot,anisotropic,384,cosine,50,0.1842,0.2978,0.3812,0.4974,0.6718,0.2978,0.6214,0.7649,0.0000
adc_rot,anisotropic,384,cosine,100,0.2430,0.3760,0.4777,0.6157,0.8080,0.2430,0.6214,0.7649,0.0000
baseline,anisotropic,768,l2,10,0.0130,0.0210,0.0300,0.0440,0.0820,0.0820,0.1537,0.9859,-0.0001
baseline,anisotropic,768,l2,50,0.0358,0.0642,0.0896,0.1366,0.2374,0.0642,0.1537,0.9859,-0.0001
baseline,anisotropic,768,l2,100,0.0560,0.1059,0.1465,0.2210,0.3745,0.0560,0.1537,0.9859,-0.0001
adc,anisotropic,768,l2,10,0.0210,0.0330,0.0440,0.0680,0.1090,0.1090,0.1950,1.0494,-0.0001
adc,anisotropic,768,l2,50,0.0470,0.0800,0.1118,0.1624,0.2844,0.0800,0.1950,1.0494,-0.0001
adc,anisotropic,768,l2,100,0.0685,0.1215,0.1709,0.2608,0.4335,0.0685,0.1950,1.0494,-0.0001
rotation,anisotropic,768,l2,10,0.0140,0.0220,0.0240,0.0390,0.0840,0.0840,0.1539,0.9855,0.0000
rotation,anisotropic,768,l2,50,0.0376,0.0672,0.0926,0.1378,0.2332,0.0672,0.1539,0.9855,0.0000
rotation,anisotropic,768,l2,100,0.0596,0.1056,0.1481,0.2182,0.3694,0.0596,0.1539,0.9855,0.0000
adc_rot,anisotropic,768,l2,10,0.0150,0.0250,0.0360,0.0660,0.1100,0.1100,0.1876,1.0247,-0.0000
adc_rot,anisotropic,768,l2,50,0.0472,0.0828,0.1162,0.1720,0.2812,0.0828,0.1876,1.0247,-0.0000
adc_rot,anisotropic,768,l2,100,0.0728,0.1285,0.1753,0.2567,0.4260,0.0728,0.1876,1.0247,-0.0000
baseline,anisotropic,768,cosine,10,0.1040,0.1710,0.2210,0.2920,0.4190,0.4190,0.6002,0.7773,-0.0000
baseline,anisotropic,768,cosine,50,0.1852,0.2976,0.3770,0.4918,0.6632,0.2976,0.6002,0.7773,-0.0000
baseline,anisotropic,768,cosine,100,0.2400,0.3775,0.4698,0.6027,0.7877,0.2400,0.6002,0.7773,-0.0000
adc,anisotropic,768,cosine,10,0.0990,0.1600,0.2140,0.2680,0.4020,0.4020,0.5815,0.7955,-0.0000
adc,anisotropic,768,cosine,50,0.1728,0.2758,0.3420,0.4596,0.6446,0.2758,0.5815,0.7955,-0.0000
adc,anisotropic,768,cosine,100,0.2246,0.3496,0.4408,0.5800,0.7711,0.2246,0.5815,0.7955,-0.0000
rotation,anisotropic,768,cosine,10,0.1030,0.1770,0.2260,0.2950,0.4240,0.4240,0.6169,0.7681,-0.0000
rotation,anisotropic,768,cosine,50,0.1882,0.2952,0.3758,0.4898,0.6668,0.2952,0.6169,0.7681,-0.0000
rotation,anisotropic,768,cosine,100,0.2388,0.3663,0.4624,0.5939,0.7769,0.2388,0.6169,0.7681,-0.0000
adc_rot,anisotropic,768,cosine,10,0.1170,0.1720,0.2180,0.2890,0.4000,0.4000,0.5998,0.7795,0.0000
adc_rot,anisotropic,768,cosine,50,0.1930,0.2990,0.3770,0.4872,0.6698,0.2990,0.5998,0.7795,0.0000
adc_rot,anisotropic,768,cosine,100,0.2421,0.3645,0.4593,0.5939,0.7774,0.2421,0.5998,0.7795,0.0000
baseline,anisotropic,1024,l2,10,0.0070,0.0220,0.0390,0.0530,0.0870,0.0870,0.1413,0.9887,-0.0002
baseline,anisotropic,1024,l2,50,0.0304,0.0540,0.0830,0.1240,0.2158,0.0540,0.1413,0.9887,-0.0002
baseline,anisotropic,1024,l2,100,0.0504,0.0927,0.1316,0.2009,0.3494,0.0504,0.1413,0.9887,-0.0002
adc,anisotropic,1024,l2,10,0.0190,0.0340,0.0390,0.0540,0.1060,0.1060,0.1728,1.0075,0.0001
adc,anisotropic,1024,l2,50,0.0402,0.0750,0.1036,0.1558,0.2590,0.0750,0.1728,1.0075,0.0001
adc,anisotropic,1024,l2,100,0.0641,0.1157,0.1588,0.2347,0.3931,0.0641,0.1728,1.0075,0.0001
rotation,anisotropic,1024,l2,10,0.0100,0.0170,0.0280,0.0450,0.0730,0.0730,0.1293,0.9894,0.0001
rotation,anisotropic,1024,l2,50,0.0320,0.0560,0.0776,0.1166,0.2132,0.0560,0.1293,0.9894,0.0001
rotation,anisotropic,1024,l2,100,0.0530,0.0909,0.1265,0.1952,0.3388,0.0530,0.1293,0.9894,0.0001
adc_rot,anisotropic,1024,l2,10,0.0110,0.0280,0.0350,0.0630,0.1080,0.1080,0.1710,1.8524,-0.0004
adc_rot,anisotropic,1024,l2,50,0.0378,0.0678,0.0914,0.1402,0.2398,0.0678,0.1710,1.8524,-0.0004
adc_rot,anisotropic,1024,l2,100,0.0637,0.1101,0.1518,0.2263,0.3817,0.0637,0.1710,1.8524,-0.0004
baseline,anisotropic,1024,cosine,10,0.1140,0.1850,0.2330,0.3030,0.4460,0.4460,0.6467,0.7476,-0.0000
baseline,anisotropic,1024,cosine,50,0.1954,0.2998,0.3724,0.4910,0.6728,0.2998,0.6467,0.7476,-0.0000
baseline,anisotropic,1024,cosine,100,0.2425,0.3720,0.4686,0.6091,0.7954,0.2425,0.6467,0.7476,-0.0000
adc,anisotropic,1024,cosine,10,0.0880,0.1550,0.1990,0.2650,0.4030,0.4030,0.6121,0.7729,-0.0000
adc,anisotropic,1024,cosine,50,0.1776,0.2866,0.3582,0.4702,0.6442,0.2866,0.6121,0.7729,-0.0000
adc,anisotropic,1024,cosine,100,0.2299,0.3534,0.4523,0.5800,0.7743,0.2299,0.6121,0.7729,-0.0000
rotation,anisotropic,1024,cosine,10,0.1140,0.1640,0.2100,0.2830,0.4090,0.4090,0.6143,0.7710,-0.0000
rotation,anisotropic,1024,cosine,50,0.1888,0.2936,0.3744,0.5002,0.6696,0.2936,0.6143,0.7710,-0.0000
rotation,anisotropic,1024,cosine,100,0.2362,0.3743,0.4721,0.6019,0.7960,0.2362,0.6143,0.7710,-0.0000
adc_rot,anisotropic,1024,cosine,10,0.0890,0.1330,0.1720,0.2340,0.3530,0.3530,0.5683,0.8025,0.0000
adc_rot,anisotropic,1024,cosine,50,0.1580,0.2526,0.3290,0.4338,0.6058,0.2526,0.5683,0.8025,0.0000
adc_rot,anisotropic,1024,cosine,100,0.2047,0.3260,0.4166,0.5469,0.7479,0.2047,0.5683,0.8025,0.0000
